is_truncated,original_length,true_labels,pred_labels
False,107,Indirect,Indirect
False,246,Indirect,Indirect
True,546,Direct Reply,Indirect
True,560,Indirect,Indirect
False,271,Indirect,Indirect
True,527,Indirect,Indirect
False,259,Indirect,Indirect
True,859,Indirect,Indirect
False,503,Indirect,Indirect
True,643,Indirect,Indirect
False,481,Indirect,Indirect
False,105,Direct Reply,Direct Reply
False,346,Indirect,Indirect
True,549,Indirect,Indirect
True,629,Indirect,Indirect
True,1023,Indirect,Indirect
True,547,Direct Reply,Indirect
False,244,Indirect,Indirect
False,68,Indirect,Indirect
False,472,Indirect,Indirect
False,264,Indirect,Indirect
True,1124,Indirect,Indirect
False,388,Direct Reply,Direct Reply
False,186,Indirect,Indirect
True,992,Indirect,Indirect
False,194,Direct Reply,Indirect
True,1047,Indirect,Indirect
True,1174,Indirect,Indirect
True,981,Indirect,Indirect
False,427,Indirect,Indirect
True,557,Direct Non-Reply,Indirect
False,439,Direct Reply,Indirect
True,644,Indirect,Indirect
False,233,Indirect,Indirect
True,633,Indirect,Indirect
False,488,Indirect,Indirect
False,275,Indirect,Indirect
False,112,Direct Reply,Indirect
True,906,Direct Reply,Indirect
True,1124,Indirect,Indirect
True,1343,Indirect,Indirect
False,266,Indirect,Indirect
True,1134,Indirect,Indirect
True,1177,Indirect,Indirect
False,221,Indirect,Indirect
False,223,Indirect,Indirect
False,48,Direct Reply,Direct Reply
False,222,Indirect,Indirect
False,507,Direct Reply,Direct Reply
False,176,Indirect,Indirect
True,987,Indirect,Indirect
False,250,Direct Non-Reply,Indirect
True,609,Indirect,Indirect
False,150,Direct Reply,Indirect
False,114,Indirect,Indirect
False,210,Indirect,Indirect
False,167,Direct Reply,Indirect
False,306,Direct Reply,Indirect
True,664,Indirect,Indirect
False,187,Direct Non-Reply,Indirect
False,299,Indirect,Indirect
True,582,Direct Reply,Indirect
False,276,Indirect,Indirect
False,65,Indirect,Direct Non-Reply
False,61,Direct Reply,Direct Reply
True,1053,Indirect,Indirect
False,227,Direct Reply,Direct Reply
False,332,Direct Reply,Indirect
True,989,Indirect,Indirect
False,462,Direct Reply,Indirect
False,283,Direct Reply,Indirect
False,278,Indirect,Indirect
True,550,Direct Reply,Indirect
False,263,Direct Reply,Indirect
False,152,Direct Non-Reply,Indirect
False,115,Direct Non-Reply,Indirect
False,147,Direct Reply,Indirect
False,482,Indirect,Indirect
True,929,Indirect,Indirect
False,461,Direct Reply,Indirect
False,424,Indirect,Indirect
True,566,Indirect,Indirect
True,800,Indirect,Indirect
False,283,Direct Reply,Indirect
True,821,Indirect,Indirect
False,45,Direct Reply,Direct Reply
True,880,Indirect,Indirect
True,630,Indirect,Indirect
False,264,Direct Non-Reply,Direct Non-Reply
False,494,Indirect,Indirect
False,348,Indirect,Indirect
True,519,Direct Reply,Indirect
False,437,Direct Non-Reply,Indirect
True,836,Direct Reply,Indirect
True,583,Direct Reply,Indirect
True,559,Indirect,Indirect
False,377,Indirect,Indirect
True,810,Direct Reply,Indirect
False,100,Direct Non-Reply,Direct Reply
True,535,Indirect,Indirect
