is_truncated,original_length,true_labels,pred_labels
False,107,2.1 Dodging,2.4 General
False,246,2.2 Deflection,1.1 Explicit
True,546,1.1 Explicit,1.1 Explicit
True,560,1.1 Explicit,2.4 General
False,271,2.1 Dodging,1.1 Explicit
True,527,2.1 Dodging,1.1 Explicit
False,259,2.1 Dodging,2.1 Dodging
True,859,2.1 Dodging,1.1 Explicit
False,503,2.4 General,2.1 Dodging
True,643,1.2 Implicit,1.2 Implicit
False,481,2.4 General,2.1 Dodging
False,105,1.1 Explicit,1.1 Explicit
False,346,1.1 Explicit,2.4 General
True,549,2.1 Dodging,1.1 Explicit
True,629,1.1 Explicit,2.1 Dodging
True,1023,2.4 General,1.2 Implicit
True,547,1.1 Explicit,1.1 Explicit
False,244,2.1 Dodging,2.4 General
False,68,2.1 Dodging,1.1 Explicit
False,472,2.1 Dodging,1.1 Explicit
False,264,2.1 Dodging,2.1 Dodging
True,1124,2.4 General,2.1 Dodging
False,388,1.1 Explicit,1.1 Explicit
False,186,2.4 General,1.1 Explicit
True,992,2.4 General,2.1 Dodging
False,194,1.1 Explicit,2.1 Dodging
True,1047,2.4 General,1.1 Explicit
True,1174,2.4 General,1.2 Implicit
True,981,2.1 Dodging,2.1 Dodging
False,427,2.1 Dodging,1.1 Explicit
True,557,2.6 Declining to answer,2.4 General
False,439,1.1 Explicit,2.1 Dodging
True,644,2.4 General,1.2 Implicit
False,233,2.1 Dodging,2.1 Dodging
True,633,2.4 General,2.1 Dodging
False,488,2.2 Deflection,1.1 Explicit
False,275,2.1 Dodging,2.4 General
False,112,1.1 Explicit,2.1 Dodging
True,906,1.1 Explicit,1.2 Implicit
True,1124,2.1 Dodging,1.1 Explicit
True,1343,2.3 Partial/half-answer,1.2 Implicit
False,266,1.2 Implicit,2.1 Dodging
True,1134,2.4 General,2.1 Dodging
True,1177,2.1 Dodging,1.2 Implicit
False,221,2.1 Dodging,2.6 Declining to answer
False,223,1.2 Implicit,2.1 Dodging
False,48,1.1 Explicit,1.1 Explicit
